userName,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
User02,2016-04-29,1,119,127
User02,2016-04-30,1,124,142
User02,2016-05-02,1,796,961
User02,2016-05-08,1,137,154
User04,2016-04-13,1,467,531
User04,2016-04-14,1,445,489
User04,2016-04-15,1,452,504
User04,2016-04-17,1,556,602
User04,2016-04-18,1,500,557
User04,2016-04-19,1,465,514
User04,2016-04-21,1,460,484
User04,2016-04-22,1,405,461
User04,2016-04-23,1,374,386
User04,2016-04-24,1,442,459
User04,2016-04-25,1,433,471
User04,2016-04-26,1,436,490
User04,2016-04-27,1,448,499
User04,2016-04-28,1,408,450
User04,2016-04-29,1,411,473
User05,2016-04-12,1,274,469
User05,2016-04-14,1,291,397
User05,2016-04-15,1,424,556
User05,2016-04-16,1,283,510
User05,2016-04-17,1,381,566
User05,2016-04-19,1,219,395
User05,2016-04-21,1,332,512
User05,2016-04-22,1,355,476
User05,2016-04-23,1,235,372
User05,2016-04-24,1,310,526
User05,2016-04-25,1,262,467
User05,2016-04-26,1,250,371
User05,2016-04-27,1,349,540
User05,2016-04-28,1,261,423
User05,2016-04-29,1,333,478
User05,2016-04-30,1,237,382
User05,2016-05-01,1,383,626
User05,2016-05-02,1,230,384
User05,2016-05-03,1,292,500
User05,2016-05-04,1,213,336
User05,2016-05-05,1,318,480
User05,2016-05-06,1,323,512
User05,2016-05-07,1,237,443
User05,2016-05-10,1,312,452
User05,2016-04-13,2,295,456
User05,2016-04-18,2,412,522
User05,2016-04-20,2,152,305
User05,2016-05-08,2,259,456
User06,2016-04-14,1,535,557
User06,2016-04-15,1,465,491
User06,2016-04-16,1,506,522
User06,2016-04-18,1,515,551
User06,2016-04-20,1,523,543
User06,2016-04-21,1,59,65
User06,2016-04-22,1,533,550
User06,2016-04-23,1,692,722
User06,2016-04-24,1,467,501
User06,2016-04-25,1,488,506
User06,2016-04-26,1,505,516
User06,2016-04-27,1,286,307
User06,2016-04-28,1,497,522
User06,2016-04-29,1,523,546
User06,2016-04-30,1,490,516
User06,2016-05-01,1,484,500
User06,2016-05-02,1,478,506
User06,2016-05-03,1,474,512
User06,2016-05-06,1,450,491
User06,2016-05-07,1,507,530
User06,2016-05-08,1,602,638
User06,2016-05-09,1,535,565
User06,2016-05-10,1,487,517
User06,2016-05-11,1,529,558
User06,2016-05-12,1,302,321
User06,2016-04-19,2,461,498
User07,2016-04-15,1,499,526
User07,2016-04-18,1,99,104
User07,2016-04-19,1,329,338
User07,2016-04-20,1,421,451
User07,2016-04-21,1,442,458
User07,2016-04-22,1,82,85
User07,2016-04-23,1,478,501
User07,2016-04-26,1,319,346
User07,2016-04-27,1,439,500
User07,2016-04-28,1,428,458
User07,2016-05-01,1,547,597
User07,2016-05-04,1,390,414
User07,2016-05-05,1,471,495
User07,2016-05-05,1,471,495
User07,2016-05-07,1,472,496
User07,2016-05-09,1,62,65
User07,2016-05-10,1,354,375
User07,2016-05-11,1,469,494
User07,2016-04-16,2,426,448
User07,2016-04-17,2,619,641
User07,2016-04-30,2,409,430
User07,2016-05-02,2,368,376
User07,2016-05-08,2,529,541
User07,2016-04-24,3,552,595
User08,2016-04-12,1,425,439
User08,2016-04-14,1,384,415
User08,2016-04-15,1,253,257
User08,2016-04-17,1,591,612
User08,2016-04-18,1,293,312
User08,2016-04-19,1,457,487
User08,2016-04-20,1,454,468
User08,2016-04-21,1,425,434
User08,2016-04-23,1,465,475
User08,2016-04-24,1,480,506
User08,2016-04-25,1,370,380
User08,2016-04-26,1,421,429
User08,2016-04-27,1,432,449
User08,2016-04-28,1,442,461
User08,2016-04-29,1,433,447
User08,2016-04-30,1,479,501
User08,2016-05-03,1,327,373
User08,2016-05-04,1,412,434
User08,2016-05-05,1,414,428
User08,2016-05-06,1,404,449
User08,2016-05-07,1,520,543
User08,2016-05-07,1,520,543
User08,2016-05-09,1,435,458
User08,2016-05-10,1,416,431
User08,2016-05-11,1,354,366
User08,2016-05-12,1,404,442
User08,2016-04-13,2,400,430
User08,2016-04-16,2,382,406
User09,2016-04-12,1,419,438
User09,2016-04-13,1,432,458
User09,2016-04-14,1,477,497
User09,2016-04-15,1,392,413
User09,2016-04-16,1,406,445
User09,2016-04-17,1,549,583
User09,2016-04-18,1,527,553
User09,2016-04-19,1,449,465
User09,2016-04-20,1,447,480
User09,2016-04-21,1,414,437
User09,2016-04-22,1,338,366
User09,2016-04-23,1,384,402
User09,2016-04-24,1,543,615
User09,2016-04-25,1,421,461
User09,2016-04-26,1,354,377
User09,2016-04-27,1,424,452
User09,2016-04-28,1,361,372
User09,2016-04-29,1,459,485
User09,2016-04-30,1,412,433
User09,2016-05-01,1,379,398
User09,2016-05-03,1,508,543
User09,2016-05-04,1,603,634
User09,2016-05-05,1,74,78
User09,2016-05-10,1,504,562
User09,2016-05-11,1,431,476
User09,2016-05-02,2,525,553
User10,2016-04-13,1,235,260
User10,2016-04-14,1,423,441
User10,2016-04-15,1,391,406
User11,2016-04-12,1,366,387
User11,2016-04-15,1,370,386
User11,2016-04-16,1,357,366
User11,2016-04-17,1,427,446
User11,2016-04-18,1,442,458
User11,2016-04-19,1,476,535
User11,2016-04-20,1,418,424
User11,2016-04-21,1,451,457
User11,2016-04-22,1,425,435
User11,2016-04-23,1,528,546
User11,2016-04-24,1,511,514
User11,2016-04-25,1,400,415
User11,2016-04-26,1,441,446
User11,2016-04-27,1,455,467
User11,2016-04-28,1,440,453
User11,2016-04-29,1,433,447
User11,2016-04-30,1,422,424
User11,2016-05-01,1,411,426
User11,2016-05-02,1,466,482
User11,2016-05-03,1,394,418
User11,2016-05-04,1,442,455
User11,2016-05-05,1,467,491
User11,2016-05-06,1,443,462
User11,2016-05-07,1,298,334
User11,2016-05-08,1,541,569
User11,2016-05-09,1,489,497
User11,2016-05-10,1,469,481
User11,2016-05-11,1,452,480
User11,2016-05-12,1,516,535
User11,2016-04-14,2,508,535
User11,2016-04-13,3,630,679
User12,2016-04-16,1,79,82
User12,2016-05-01,1,58,61
User13,2016-04-12,1,514,525
User13,2016-04-13,1,451,465
User13,2016-04-14,1,472,476
User13,2016-04-15,1,377,386
User13,2016-04-19,1,472,483
User13,2016-04-20,1,492,502
User13,2016-04-21,1,390,411
User13,2016-04-22,1,428,448
User13,2016-04-24,1,681,704
User13,2016-04-25,1,446,447
User13,2016-04-26,1,485,500
User13,2016-04-27,1,469,479
User13,2016-04-28,1,354,367
User13,2016-04-30,1,485,489
User13,2016-05-01,1,388,407
User13,2016-05-02,1,440,459
User13,2016-05-03,1,456,461
User13,2016-05-04,1,420,436
User13,2016-05-06,1,322,333
User13,2016-05-07,1,530,548
User13,2016-05-08,1,481,510
User13,2016-05-09,1,427,438
User13,2016-05-11,1,451,463
User13,2016-05-12,1,444,457
User16,2016-04-12,1,458,493
User16,2016-04-13,1,531,552
User16,2016-04-14,1,486,503
User16,2016-04-15,1,363,377
User16,2016-04-20,1,528,547
User16,2016-04-22,1,391,407
User16,2016-04-23,1,339,360
User16,2016-04-27,1,423,428
User16,2016-04-28,1,402,416
User16,2016-04-29,1,398,406
User16,2016-04-30,1,343,360
User16,2016-05-01,1,503,527
User16,2016-05-02,1,415,423
User16,2016-05-03,1,516,545
User16,2016-05-04,1,439,463
User17,2016-04-15,1,644,961
User17,2016-04-30,1,722,961
User17,2016-05-01,1,590,961
User18,2016-04-13,1,398,422
User18,2016-04-26,1,296,315
User18,2016-04-28,1,166,178
User18,2016-04-15,2,475,499
User18,2016-04-12,3,750,775
User19,2016-04-12,1,503,546
User19,2016-04-13,1,531,565
User19,2016-04-14,1,545,568
User19,2016-04-15,1,523,573
User19,2016-04-16,1,524,567
User19,2016-04-17,1,437,498
User19,2016-04-19,1,498,540
User19,2016-04-20,1,461,510
User19,2016-04-21,1,477,514
User19,2016-04-22,1,520,545
User19,2016-04-23,1,522,554
User19,2016-04-24,1,555,591
User19,2016-04-25,1,506,531
User19,2016-04-27,1,508,545
User19,2016-04-28,1,513,545
User19,2016-04-29,1,490,510
User19,2016-04-30,1,573,607
User19,2016-05-01,1,527,546
User19,2016-05-02,1,511,543
User19,2016-05-04,1,538,560
User19,2016-05-05,1,468,485
User19,2016-05-06,1,524,548
User19,2016-05-07,1,511,521
User19,2016-05-08,1,541,568
User19,2016-05-09,1,531,556
User19,2016-05-10,1,357,380
User19,2016-05-11,1,523,553
User19,2016-05-12,1,456,485
User20,2016-04-23,1,61,69
User23,2016-04-12,1,501,541
User23,2016-04-16,1,77,77
User23,2016-05-03,1,322,332
User23,2016-05-04,1,478,536
User23,2016-05-05,1,226,248
User23,2016-05-06,1,385,408
User23,2016-05-08,1,364,402
User23,2016-05-10,1,442,494
User25,2016-04-14,1,441,492
User25,2016-04-16,1,462,499
User25,2016-04-17,1,98,107
User25,2016-04-20,1,439,462
User25,2016-04-21,1,436,469
User25,2016-04-22,1,388,417
User25,2016-04-25,1,328,345
User25,2016-04-27,1,332,374
User25,2016-04-28,1,419,442
User25,2016-04-29,1,106,108
User25,2016-04-30,1,322,353
User25,2016-05-02,1,502,542
User25,2016-05-08,1,361,391
User25,2016-05-09,1,457,533
User25,2016-05-10,1,405,426
User25,2016-05-11,1,499,530
User25,2016-05-12,1,483,501
User25,2016-04-12,2,429,457
User25,2016-04-13,2,370,406
User25,2016-04-15,2,337,379
User25,2016-04-19,2,388,424
User25,2016-04-26,2,353,391
User25,2016-05-01,2,439,459
User25,2016-05-03,2,417,450
User25,2016-05-04,2,337,363
User25,2016-05-05,2,462,513
User25,2016-05-06,2,374,402
User25,2016-05-07,2,401,436
User26,2016-04-21,1,126,137
User26,2016-04-26,1,103,121
User26,2016-04-29,1,171,179
User26,2016-05-01,1,115,129
User26,2016-05-08,1,123,134
User27,2016-04-12,1,441,464
User27,2016-04-14,1,357,418
User27,2016-04-15,1,377,409
User27,2016-04-17,1,350,402
User27,2016-04-19,1,357,410
User27,2016-04-20,1,658,678
User27,2016-04-21,1,399,431
User27,2016-04-22,1,322,353
User27,2016-04-25,1,433,468
User27,2016-04-26,1,412,453
User27,2016-04-27,1,347,391
User27,2016-04-28,1,421,457
User27,2016-04-29,1,450,495
User27,2016-05-02,1,409,471
User27,2016-05-03,1,380,429
User27,2016-05-04,1,447,470
User27,2016-05-05,1,419,464
User27,2016-05-06,1,400,434
User27,2016-05-07,1,442,470
User27,2016-05-08,1,568,608
User27,2016-05-09,1,453,494
User27,2016-05-10,1,418,443
User27,2016-05-11,1,463,486
User27,2016-05-12,1,438,475
User27,2016-04-13,2,455,488
User27,2016-04-16,2,651,686
User27,2016-04-18,2,520,541
User27,2016-04-23,2,631,725
User27,2016-04-24,2,553,640
User27,2016-04-30,2,775,843
User27,2016-05-01,2,622,686
User28,2016-04-16,1,380,398
User28,2016-04-19,1,465,492
User28,2016-04-20,1,474,502
User28,2016-04-21,1,508,550
User28,2016-04-22,1,480,546
User28,2016-04-23,1,492,539
User28,2016-04-24,1,353,367
User28,2016-04-27,1,542,557
User28,2016-04-28,1,393,416
User28,2016-04-29,1,600,636
User28,2016-05-01,1,507,575
User28,2016-05-05,1,392,415
User28,2016-05-08,1,555,603
User28,2016-05-09,1,492,522
User28,2016-04-17,2,336,350
User28,2016-04-18,2,493,510
User28,2016-05-06,2,658,698
User28,2016-05-07,2,498,507
User30,2016-04-20,1,486,493
User30,2016-04-23,1,331,337
User30,2016-05-07,1,74,75
User31,2016-04-12,1,338,356
User31,2016-04-14,1,424,455
User31,2016-04-15,1,513,533
User31,2016-04-18,1,398,451
User31,2016-04-19,1,387,421
User31,2016-04-20,1,381,409
User31,2016-04-21,1,396,417
User31,2016-04-22,1,441,469
User31,2016-04-23,1,565,591
User31,2016-04-24,1,458,492
User31,2016-04-25,1,388,402
User31,2016-04-25,1,388,402
User31,2016-04-26,1,550,584
User31,2016-04-27,1,531,600
User31,2016-04-28,1,506,556
User31,2016-04-29,1,527,562
User31,2016-04-30,1,468,555
User31,2016-05-01,1,475,539
User31,2016-05-02,1,351,385
User31,2016-05-03,1,405,429
User31,2016-05-04,1,441,477
User31,2016-05-05,1,381,417
User31,2016-05-06,1,323,355
User31,2016-05-08,1,545,606
User31,2016-05-09,1,359,399
User31,2016-05-10,1,342,391
User31,2016-05-11,1,368,387
User31,2016-05-12,1,496,546
User31,2016-04-13,2,447,487
User31,2016-04-16,2,611,689
User31,2016-04-17,2,525,591
User31,2016-05-07,2,459,513
User33,2016-04-12,1,327,346
User33,2016-04-15,1,412,442
User33,2016-04-17,1,700,712
User33,2016-04-19,1,304,320
User33,2016-04-20,1,360,377
User33,2016-04-21,1,325,364
User33,2016-04-23,1,361,384
User33,2016-04-24,1,430,449
User33,2016-04-25,1,277,323
User33,2016-04-26,1,245,274
User33,2016-04-28,1,366,393
User33,2016-04-29,1,341,354
User33,2016-04-30,1,404,425
User33,2016-05-01,1,369,396
User33,2016-05-02,1,277,309
User33,2016-05-03,1,273,296
User33,2016-05-05,1,247,264
User33,2016-05-06,1,334,367
User33,2016-05-07,1,331,349
User33,2016-05-08,1,594,611
User33,2016-05-09,1,338,342
User33,2016-05-10,1,383,403
User33,2016-05-11,1,285,306
User33,2016-04-13,2,384,407
User33,2016-04-16,2,340,367