User,TrackedDays,TotalSteps,TotalDistance,TotalCalories,TotalVeryActiveMin,PercentVeryActive,TotalModeratelyActiveMin,PercentModeratelyActive,TotalLightActiveMin,PercentLightActive,TotalSedentaryMin,PercentSedentary
User01,31,178061,121.36000061499999,45984,269,0.60863859537977683,180,0.40726746159241584,4758,10.765436568092856,38990,88.218657374934949
User02,30,218489,158.86000061700005,84339,287,0.69765180611599986,641,1.5581700617434002,5354,13.014730905731927,34856,84.729447226408666
User03,31,352490,250.60999822499997,77809,1125,2.5454792288894921,600,1.3575889220743957,7981,18.058195311792922,34490,78.0387365372432
User04,18,171354,114.399999647,36782,243,1.3864323614994007,370,2.111028698579335,4545,25.931420094711015,12369,70.57111884521025
User05,30,329537,225.509998319,45410,567,1.9637043707141373,1838,6.3655884186465324,5243,18.158204613146776,21226,73.512502597492556
User06,31,225334,151.65999945799996,63168,111,0.36519164336239512,382,1.25678565553545,7092,23.332784997532489,22810,75.045237703569668
User07,31,335232,260.190002682,95910,718,2.0874520293057333,631,1.8345156413536456,7110,20.671008256774044,25937,75.407024072566571
User08,31,265734,215.60999978400005,91932,159,0.4955277838376913,807,2.5150372424969611,7362,22.943871349767818,23759,74.045563623897522
User09,30,249133,186.39999914000003,100789,2620,8.5660105930818027,895,2.9261753743542798,4438,14.509906493166808,22633,73.997907539397119
User10,26,65512,47.149999420000007,55426,286,0.80563380281690133,385,1.0845070422535212,1044,2.9408450704225353,33785,95.16901408450704
User11,31,303639,204.16000080300003,61443,707,2.4020657085584207,574,1.9501919614038663,7620,25.889307919681993,20532,69.758434410355719
User12,26,294409,208.39999937699997,66144,807,2.2436610320284696,423,1.1760453736654803,7299,20.293038256227756,27439,76.2872553380783
User13,31,290525,198.02999974,79557,1320,4.00862461659935,786,2.3869537489750678,4459,13.541255428345837,26364,80.063166206079757
User14,19,123161,88.6800009,33972,390,1.4263248363383683,272,0.99477014226675931,2221,8.122737080788502,24460,89.456167940606363
User15,31,223154,174.07999849,84693,300,0.67326466033797894,688,1.5440202877084315,4287,9.6209519962297172,39284,88.161763055723867
User16,29,53758,34.409999787,56907,28,0.083430171925747143,117,0.34861893268972916,2662,7.9318256309406756,30754,91.636125264443848
User17,31,79982,52.890000142000005,48778,4,0.0097494394072340836,40,0.09749439407234084,3579,8.7233109096226968,37405,91.169445256897731
User18,31,28400,19.669999818,67357,41,0.097384860217096983,24,0.057005771834398228,1196,2.8407876297475121,40840,97.004821738201
User19,31,172573,107.100000177,47760,3,0.010225297385732302,8,0.027267459695286135,7956,27.117488666962064,21372,72.845018575956928
User20,31,146223,98.819999037999992,53449,42,0.095261856698949862,80,0.18145115561704733,6144,13.935448751389234,37823,85.78783823629476
User21,31,234229,158.14999866499997,59426,437,0.98895627772245864,190,0.42998099031411241,9548,21.60767629220603,34013,76.973386439757391
User22,20,137233,94.140000821999976,38662,183,0.64495665045464157,82,0.28899696905617817,6558,23.11270881793191,21551,75.953337562557266
User23,31,70284,50.410000206999996,73960,161,0.39204227238415273,166,0.40421749823459224,2385,5.8075827306596537,38355,93.396157498721593
User24,4,15352,11.450000048,7895,3,0.056710775047258973,6,0.11342155009451795,412,7.7882797731569005,4869,92.041587901701334
User25,31,148693,100.619999646,67772,205,0.63139090797092523,54,0.16631760502648762,6482,19.964272514475791,25727,79.238018972526788
User26,31,238239,157.50000047700001,63031,322,0.74051928339810957,425,0.97739346411241168,8834,20.315985557574223,33902,77.966101694915253
User27,31,266990,174.830000951,58146,726,2.5708215297450425,403,1.4270538243626063,6392,22.634560906515581,20719,73.367563739376777
User28,28,197308,149.580001593,63312,44,0.1443995930556923,57,0.1870631091857832,8074,26.497325325719533,22296,73.171211972038989
User29,29,163837,123.90000033300004,75389,80,0.19331142470520007,110,0.2658032089696501,6596,15.938526966943748,34598,83.6023583993814
User30,31,457662,355.72999717600015,91320,2640,6.1104038884388379,297,0.68742043744936931,4680,10.832079620414303,35588,82.37009605369748
User31,31,270249,214.32000232499996,106534,1819,6.2345763641349059,318,1.0899369344666849,4839,16.585549766931727,22200,76.089936934466678
User32,31,497241,409.59999729599997,106028,2048,4.6407287394348646,308,0.69792209557907148,7276,16.487276517640662,34499,78.174072647345412
User33,31,375619,242.09999895100006,56309,1200,3.4379028792436617,594,1.7017619252256124,6818,19.533018192236067,26293,75.327317003294652