HourOfDay,SumSteps,AvgSteps
0,39404,42.188436830835116
1,21555,23.102893890675219
2,15964,17.110396570203626
3,5996,6.4265809217577736
4,11836,12.699570815450636
5,40886,43.869098712446458
6,166191,178.50805585392035
7,284932,306.04940923737894
8,398044,427.54457572502685
9,403404,433.3018259935551
10,447467,481.6652314316467
11,423534,456.88673139158544
12,505848,548.64208242950065
13,495220,537.69815418023927
14,497813,540.51357220412672
15,371782,406.31912568305978
16,450639,496.84564498346163
17,498511,550.23289183222914
18,542848,599.16997792494408
19,528552,583.390728476821
20,320638,353.90507726269283
21,278865,308.13812154696188
22,215141,237.987831858407
23,110286,122.13289036544846