userName,HourOfDay,MaxIntensity,SumIntensity,AvgIntensity
User01,0,18,137,4.4
User01,1,26,59,1.9
User01,2,19,77,2.5
User01,3,4,15,0.5
User01,4,27,33,1.1
User01,5,49,59,1.9
User01,6,77,117,3.8
User01,7,147,203,6.5
User01,8,167,293,9.5
User01,9,169,387,12.5
User01,10,100,433,14.0
User01,11,48,363,11.7
User01,12,38,313,10.1
User01,13,87,396,12.8
User01,14,112,363,11.7
User01,15,28,160,5.2
User01,16,70,256,8.5
User01,17,50,315,10.5
User01,18,56,422,14.1
User01,19,58,505,16.8
User01,20,51,266,8.9
User01,21,41,295,9.8
User01,22,44,275,9.2
User01,23,19,175,5.8
User02,0,41,112,3.7
User02,1,26,64,2.1
User02,2,36,70,2.3
User02,3,35,45,1.5
User02,4,7,18,0.6
User02,5,7,15,0.5
User02,6,7,14,0.5
User02,7,32,79,2.6
User02,8,36,256,8.5
User02,9,35,210,7.0
User02,10,33,224,7.5
User02,11,47,283,9.4
User02,12,63,387,13.3
User02,13,61,456,15.7
User02,14,93,446,15.4
User02,15,39,288,9.9
User02,16,98,370,12.8
User02,17,43,372,12.8
User02,18,94,647,22.3
User02,19,130,1073,37.0
User02,20,90,679,23.4
User02,21,88,739,25.5
User02,22,67,483,16.7
User02,23,38,118,4.1
User03,0,0,0,0.0
User03,1,0,0,0.0
User03,2,0,0,0.0
User03,3,0,0,0.0
User03,4,0,0,0.0
User03,5,0,0,0.0
User03,6,21,69,2.2
User03,7,40,446,14.4
User03,8,63,495,16.0
User03,9,157,1896,61.2
User03,10,157,1726,55.7
User03,11,142,934,30.1
User03,12,102,756,24.4
User03,13,49,678,21.9
User03,14,126,1623,52.4
User03,15,72,793,25.6
User03,16,121,930,31.0
User03,17,59,692,23.1
User03,18,104,737,24.6
User03,19,47,518,17.3
User03,20,20,185,6.2
User03,21,35,50,1.7
User03,22,7,7,0.2
User03,23,0,0,0.0
User04,0,1,4,0.2
User04,1,1,1,0.1
User04,2,3,7,0.4
User04,3,1,1,0.1
User04,4,4,6,0.3
User04,5,1,3,0.2
User04,6,9,40,2.4
User04,7,95,520,30.6
User04,8,130,622,36.6
User04,9,132,292,17.2
User04,10,31,255,15.0
User04,11,57,365,21.5
User04,12,44,287,16.9
User04,13,72,449,26.4
User04,14,32,292,17.2
User04,15,41,217,12.8
User04,16,26,207,12.2
User04,17,38,255,15.0
User04,18,68,638,37.5
User04,19,117,496,29.2
User04,20,64,492,28.9
User04,21,88,426,25.1
User04,22,29,126,7.4
User04,23,8,11,0.6
User05,0,24,174,6.0
User05,1,15,43,1.5
User05,2,3,14,0.5
User05,3,3,16,0.6
User05,4,1,5,0.2
User05,5,3,11,0.4
User05,6,13,25,0.9
User05,7,25,55,1.9
User05,8,34,175,6.0
User05,9,30,218,7.5
User05,10,53,485,16.7
User05,11,95,539,18.6
User05,12,78,359,12.4
User05,13,118,766,26.4
User05,14,112,817,28.2
User05,15,87,447,15.4
User05,16,88,608,21.0
User05,17,116,692,23.9
User05,18,111,750,25.9
User05,19,147,1032,35.6
User05,20,109,818,28.2
User05,21,115,810,27.9
User05,22,114,980,33.8
User05,23,129,760,26.2
User06,0,3,14,0.5
User06,1,2,12,0.4
User06,2,2,8,0.3
User06,3,4,19,0.6
User06,4,5,19,0.6
User06,5,53,65,2.2
User06,6,82,95,3.2
User06,7,35,151,5.0
User06,8,49,306,10.2
User06,9,51,247,8.2
User06,10,60,859,28.6
User06,11,48,656,21.9
User06,12,87,776,25.9
User06,13,50,463,15.4
User06,14,46,535,17.8
User06,15,40,590,19.7
User06,16,42,560,18.7
User06,17,47,522,17.4
User06,18,44,522,17.4
User06,19,70,807,26.9
User06,20,48,382,12.7
User06,21,26,187,6.2
User06,22,29,305,10.2
User06,23,18,89,3.0
User07,0,4,15,0.5
User07,1,5,18,0.6
User07,2,4,17,0.5
User07,3,13,25,0.8
User07,4,22,39,1.3
User07,5,101,782,25.2
User07,6,121,1106,35.7
User07,7,19,285,9.2
User07,8,92,466,15.0
User07,9,92,436,14.1
User07,10,62,458,14.8
User07,11,101,425,13.7
User07,12,129,559,18.0
User07,13,100,481,15.5
User07,14,154,467,15.1
User07,15,43,364,12.1
User07,16,111,725,24.2
User07,17,113,1029,34.3
User07,18,121,982,32.7
User07,19,115,748,24.9
User07,20,96,745,24.8
User07,21,26,204,6.8
User07,22,16,105,3.5
User07,23,17,38,1.3
User08,0,1,2,0.1
User08,1,2,4,0.1
User08,2,8,11,0.4
User08,3,2,5,0.2
User08,4,3,8,0.3
User08,5,14,38,1.2
User08,6,48,594,19.2
User08,7,30,313,10.1
User08,8,44,293,9.5
User08,9,45,469,15.1
User08,10,52,367,11.8
User08,11,76,435,14.5
User08,12,96,720,24.0
User08,13,115,520,17.3
User08,14,119,589,19.6
User08,15,61,408,13.6
User08,16,76,448,14.9
User08,17,46,684,22.8
User08,18,82,779,26.0
User08,19,68,862,28.7
User08,20,58,749,25.0
User08,21,64,827,27.6
User08,22,33,321,10.7
User08,23,4,7,0.2
User09,0,25,69,2.3
User09,1,68,81,2.7
User09,2,39,73,2.4
User09,3,8,22,0.7
User09,4,28,59,2.0
User09,5,60,211,7.0
User09,6,154,1761,58.7
User09,7,115,932,31.1
User09,8,124,633,21.1
User09,9,128,633,21.1
User09,10,173,1214,40.5
User09,11,170,1328,44.3
User09,12,152,645,22.2
User09,13,125,604,20.8
User09,14,180,870,30.0
User09,15,159,724,25.0
User09,16,87,536,18.5
User09,17,126,492,17.0
User09,18,176,707,24.4
User09,19,121,1306,45.0
User09,20,129,705,24.3
User09,21,76,270,9.3
User09,22,49,174,6.0
User09,23,8,37,1.3
User10,0,29,50,1.9
User10,1,1,1,0.0
User10,2,6,7,0.3
User10,3,0,0,0.0
User10,4,3,4,0.2
User10,5,70,70,2.7
User10,6,79,117,4.5
User10,7,65,130,5.0
User10,8,74,287,11.0
User10,9,48,112,4.3
User10,10,32,85,3.4
User10,11,84,231,9.2
User10,12,83,243,9.7
User10,13,70,197,7.9
User10,14,46,120,4.8
User10,15,46,65,2.6
User10,16,91,102,4.1
User10,17,52,64,2.6
User10,18,112,222,8.9
User10,19,42,139,5.6
User10,20,56,139,5.6
User10,21,39,97,3.9
User10,22,41,94,3.8
User10,23,28,92,3.7
User11,0,2,14,0.5
User11,1,13,31,1.0
User11,2,18,27,0.9
User11,3,5,12,0.4
User11,4,4,17,0.5
User11,5,2,4,0.1
User11,6,8,44,1.4
User11,7,76,556,17.9
User11,8,49,698,22.5
User11,9,159,1417,45.7
User11,10,139,1356,43.7
User11,11,127,892,28.8
User11,12,137,1089,36.3
User11,13,55,274,9.1
User11,14,38,269,9.0
User11,15,62,516,17.2
User11,16,54,693,23.1
User11,17,95,829,27.6
User11,18,47,681,22.7
User11,19,103,757,25.2
User11,20,37,365,12.2
User11,21,26,116,3.9
User11,22,33,150,5.0
User11,23,20,82,2.7
User12,0,0,0,0.0
User12,1,0,0,0.0
User12,2,0,0,0.0
User12,3,0,0,0.0
User12,4,0,0,0.0
User12,5,1,2,0.1
User12,6,160,733,29.3
User12,7,116,1028,41.1
User12,8,174,2218,88.7
User12,9,87,1095,43.8
User12,10,87,718,28.7
User12,11,72,612,24.5
User12,12,90,534,21.4
User12,13,65,548,21.9
User12,14,46,326,13.0
User12,15,52,445,17.8
User12,16,58,533,21.3
User12,17,61,536,21.4
User12,18,45,400,16.0
User12,19,87,475,19.0
User12,20,35,244,9.8
User12,21,26,74,3.0
User12,22,38,43,1.7
User12,23,2,2,0.1
User13,0,24,68,2.2
User13,1,17,29,0.9
User13,2,1,2,0.1
User13,3,0,0,0.0
User13,4,0,0,0.0
User13,5,0,0,0.0
User13,6,4,24,0.8
User13,7,34,406,13.1
User13,8,75,243,7.8
User13,9,20,127,4.1
User13,10,73,208,6.7
User13,11,21,144,4.6
User13,12,103,465,15.0
User13,13,129,1601,53.4
User13,14,73,396,13.2
User13,15,78,328,10.9
User13,16,80,610,20.3
User13,17,166,2679,89.3
User13,18,92,1303,43.4
User13,19,83,459,15.3
User13,20,34,294,9.8
User13,21,34,221,7.4
User13,22,27,184,6.1
User13,23,54,151,5.0
User14,0,1,2,0.1
User14,1,0,0,0.0
User14,2,0,0,0.0
User14,3,0,0,0.0
User14,4,1,1,0.1
User14,5,0,0,0.0
User14,6,0,0,0.0
User14,7,19,20,1.1
User14,8,26,74,4.1
User14,9,26,85,4.7
User14,10,137,473,26.3
User14,11,149,681,37.8
User14,12,135,696,38.7
User14,13,74,303,16.8
User14,14,34,274,15.2
User14,15,76,182,10.1
User14,16,64,248,13.8
User14,17,36,209,11.6
User14,18,19,114,6.3
User14,19,15,102,5.7
User14,20,20,91,5.1
User14,21,15,95,5.3
User14,22,24,164,9.1
User14,23,13,111,6.5
User15,0,55,136,4.5
User15,1,8,14,0.5
User15,2,0,0,0.0
User15,3,0,0,0.0
User15,4,0,0,0.0
User15,5,0,0,0.0
User15,6,0,0,0.0
User15,7,8,8,0.3
User15,8,110,137,4.6
User15,9,32,139,4.6
User15,10,84,407,13.6
User15,11,63,433,14.4
User15,12,82,766,25.5
User15,13,84,869,29.0
User15,14,97,745,24.8
User15,15,178,946,31.5
User15,16,52,414,13.8
User15,17,39,275,9.2
User15,18,24,227,7.6
User15,19,43,352,11.7
User15,20,29,250,8.3
User15,21,22,181,6.0
User15,22,20,133,4.6
User15,23,18,124,4.3
User16,0,24,175,6.3
User16,1,38,137,4.9
User16,2,10,39,1.4
User16,3,4,6,0.2
User16,4,1,2,0.1
User16,5,1,1,0.0
User16,6,1,3,0.1
User16,7,4,9,0.3
User16,8,4,16,0.6
User16,9,30,104,3.7
User16,10,46,145,5.2
User16,11,33,228,8.1
User16,12,24,113,4.0
User16,13,84,173,6.2
User16,14,74,164,5.9
User16,15,48,223,8.0
User16,16,41,212,7.6
User16,17,47,283,10.1
User16,18,34,293,10.5
User16,19,46,239,8.5
User16,20,37,213,7.6
User16,21,20,86,3.1
User16,22,8,48,1.7
User16,23,14,68,2.4
User17,0,39,94,3.0
User17,1,22,36,1.2
User17,2,25,25,0.8
User17,3,3,3,0.1
User17,4,0,0,0.0
User17,5,0,0,0.0
User17,6,7,7,0.2
User17,7,5,8,0.3
User17,8,29,64,2.1
User17,9,36,125,4.0
User17,10,37,280,9.0
User17,11,36,365,12.2
User17,12,37,263,8.8
User17,13,41,214,7.1
User17,14,32,258,8.6
User17,15,31,258,8.6
User17,16,50,231,7.7
User17,17,35,219,7.3
User17,18,27,168,5.6
User17,19,43,242,8.1
User17,20,67,262,8.7
User17,21,50,210,7.0
User17,22,44,212,7.1
User17,23,22,127,4.2
User18,0,1,3,0.1
User18,1,2,3,0.1
User18,2,2,2,0.1
User18,3,2,2,0.1
User18,4,5,8,0.3
User18,5,0,0,0.0
User18,6,2,3,0.1
User18,7,0,0,0.0
User18,8,40,91,2.9
User18,9,17,41,1.3
User18,10,34,129,4.2
User18,11,63,189,6.1
User18,12,16,73,2.4
User18,13,55,127,4.1
User18,14,10,41,1.3
User18,15,34,72,2.3
User18,16,36,105,3.5
User18,17,19,110,3.7
User18,18,25,107,3.6
User18,19,47,139,4.6
User18,20,13,50,1.7
User18,21,9,45,1.5
User18,22,5,17,0.6
User18,23,6,10,0.3
User19,0,4,16,0.5
User19,1,2,6,0.2
User19,2,1,3,0.1
User19,3,3,8,0.3
User19,4,1,4,0.1
User19,5,24,50,1.6
User19,6,29,452,14.6
User19,7,32,510,16.5
User19,8,39,454,14.6
User19,9,38,407,13.1
User19,10,43,437,14.1
User19,11,45,464,15.0
User19,12,41,456,14.7
User19,13,41,555,17.9
User19,14,46,573,18.5
User19,15,43,630,20.3
User19,16,56,581,19.4
User19,17,49,560,18.7
User19,18,37,575,19.2
User19,19,36,425,14.2
User19,20,33,493,16.4
User19,21,28,201,6.7
User19,22,10,61,2.0
User19,23,3,37,1.2
User20,0,21,143,4.6
User20,1,20,140,4.5
User20,2,17,110,3.5
User20,3,21,86,2.8
User20,4,24,68,2.2
User20,5,19,81,2.6
User20,6,31,207,6.7
User20,7,40,405,13.1
User20,8,33,237,7.6
User20,9,34,256,8.3
User20,10,30,268,8.6
User20,11,38,287,9.3
User20,12,32,333,10.7
User20,13,27,225,7.3
User20,14,30,251,8.1
User20,15,67,381,12.7
User20,16,34,381,12.7
User20,17,40,404,13.5
User20,18,31,311,10.4
User20,19,30,332,11.1
User20,20,61,436,14.5
User20,21,41,433,14.4
User20,22,46,383,12.8
User20,23,47,268,8.9
User21,0,18,19,0.6
User21,1,0,0,0.0
User21,2,0,0,0.0
User21,3,0,0,0.0
User21,4,0,0,0.0
User21,5,28,338,10.9
User21,6,96,465,15.0
User21,7,99,953,30.7
User21,8,148,1311,42.3
User21,9,72,1106,35.7
User21,10,56,944,30.5
User21,11,29,463,14.9
User21,12,108,1072,34.6
User21,13,42,732,23.6
User21,14,40,441,14.2
User21,15,46,476,15.4
User21,16,38,530,17.7
User21,17,77,657,21.9
User21,18,40,556,18.5
User21,19,56,407,13.6
User21,20,33,301,10.0
User21,21,24,230,7.7
User21,22,19,85,2.8
User21,23,11,29,1.0
User22,0,3,15,0.8
User22,1,2,11,0.6
User22,2,6,14,0.7
User22,3,2,7,0.3
User22,4,2,6,0.3
User22,5,17,99,4.9
User22,6,17,119,5.9
User22,7,40,288,14.4
User22,8,53,508,25.4
User22,9,97,583,29.1
User22,10,101,767,38.4
User22,11,105,717,35.9
User22,12,44,417,20.9
User22,13,29,336,16.8
User22,14,86,573,28.6
User22,15,74,544,27.2
User22,16,41,405,21.3
User22,17,39,415,21.8
User22,18,40,381,20.1
User22,19,41,393,20.7
User22,20,28,371,19.5
User22,21,20,155,8.2
User22,22,22,100,5.3
User22,23,17,35,1.8
User23,0,7,20,0.6
User23,1,97,112,3.6
User23,2,118,133,4.3
User23,3,6,6,0.2
User23,4,6,9,0.3
User23,5,2,3,0.1
User23,6,3,4,0.1
User23,7,55,90,2.9
User23,8,23,89,2.9
User23,9,42,173,5.6
User23,10,34,124,4.0
User23,11,42,147,4.7
User23,12,41,132,4.4
User23,13,24,98,3.3
User23,14,30,137,4.6
User23,15,47,217,7.2
User23,16,93,298,9.9
User23,17,42,215,7.2
User23,18,68,207,6.9
User23,19,33,167,5.6
User23,20,68,219,7.3
User23,21,67,229,7.6
User23,22,70,222,7.4
User23,23,61,139,4.6
User24,0,1,1,0.3
User24,1,0,0,0.0
User24,2,0,0,0.0
User24,3,8,8,2.0
User24,4,0,0,0.0
User24,5,0,0,0.0
User24,6,2,2,0.5
User24,7,26,55,13.8
User24,8,31,69,17.3
User24,9,22,41,10.3
User24,10,9,12,3.0
User24,11,15,32,8.0
User24,12,8,19,4.8
User24,13,13,37,9.3
User24,14,7,18,4.5
User24,15,7,13,3.3
User24,16,17,28,9.3
User24,17,7,12,4.0
User24,18,20,35,11.7
User24,19,20,32,10.7
User24,20,7,14,4.7
User24,21,1,1,0.3
User24,22,2,2,0.7
User24,23,0,0,0.0
User25,0,17,110,3.5
User25,1,15,144,4.6
User25,2,10,58,1.9
User25,3,4,15,0.5
User25,4,3,20,0.6
User25,5,6,19,0.6
User25,6,7,23,0.7
User25,7,7,42,1.4
User25,8,29,96,3.1
User25,9,29,91,2.9
User25,10,92,221,7.1
User25,11,31,269,8.7
User25,12,37,417,13.5
User25,13,137,630,20.3
User25,14,36,417,13.5
User25,15,46,475,15.8
User25,16,38,505,16.8
User25,17,35,485,16.2
User25,18,109,886,29.5
User25,19,98,631,21.0
User25,20,33,432,14.4
User25,21,31,401,13.4
User25,22,36,420,14.0
User25,23,29,391,13.0
User26,0,29,67,2.2
User26,1,10,36,1.2
User26,2,1,3,0.1
User26,3,0,0,0.0
User26,4,0,0,0.0
User26,5,0,0,0.0
User26,6,19,39,1.3
User26,7,38,109,3.5
User26,8,38,245,7.9
User26,9,48,596,19.2
User26,10,49,677,21.8
User26,11,73,718,23.2
User26,12,68,666,21.5
User26,13,112,826,26.6
User26,14,90,893,28.8
User26,15,69,749,24.2
User26,16,114,1013,33.8
User26,17,70,798,26.6
User26,18,123,942,31.4
User26,19,89,731,24.4
User26,20,96,561,18.7
User26,21,40,497,16.6
User26,22,33,326,10.9
User26,23,22,143,4.8
User27,0,17,59,1.9
User27,1,19,29,0.9
User27,2,11,42,1.4
User27,3,5,21,0.7
User27,4,4,21,0.7
User27,5,14,65,2.1
User27,6,43,555,17.9
User27,7,62,760,24.5
User27,8,52,329,10.6
User27,9,13,119,3.8
User27,10,75,297,9.9
User27,11,107,407,13.6
User27,12,103,585,19.5
User27,13,105,421,14.0
User27,14,115,489,16.3
User27,15,106,361,12.0
User27,16,94,882,29.4
User27,17,144,1235,41.2
User27,18,78,629,21.0
User27,19,51,583,19.4
User27,20,43,493,16.4
User27,21,43,473,15.8
User27,22,28,318,10.6
User27,23,35,203,6.8
User28,0,20,82,2.9
User28,1,22,40,1.4
User28,2,18,32,1.1
User28,3,17,35,1.3
User28,4,32,37,1.3
User28,5,41,43,1.5
User28,6,36,44,1.6
User28,7,42,157,5.6
User28,8,48,330,11.8
User28,9,47,439,15.7
User28,10,59,542,19.4
User28,11,50,511,18.3
User28,12,52,605,22.4
User28,13,51,678,25.1
User28,14,47,552,20.4
User28,15,56,702,26.0
User28,16,71,586,21.7
User28,17,55,658,24.4
User28,18,61,611,22.6
User28,19,50,555,20.6
User28,20,56,440,16.3
User28,21,31,234,8.7
User28,22,38,220,8.1
User28,23,22,144,5.3
User29,0,0,0,0.0
User29,1,0,0,0.0
User29,2,0,0,0.0
User29,3,0,0,0.0
User29,4,0,0,0.0
User29,5,6,10,0.4
User29,6,22,219,7.8
User29,7,36,451,16.1
User29,8,52,448,16.0
User29,9,91,764,27.3
User29,10,67,649,23.2
User29,11,53,620,22.1
User29,12,44,624,22.3
User29,13,56,631,22.5
User29,14,41,615,22.0
User29,15,36,510,18.2
User29,16,38,439,15.7
User29,17,32,380,14.1
User29,18,34,249,9.2
User29,19,34,146,5.4
User29,20,35,101,3.7
User29,21,102,145,5.4
User29,22,17,29,1.1
User29,23,16,19,0.7
User30,0,11,87,2.8
User30,1,12,96,3.1
User30,2,15,86,2.8
User30,3,9,14,0.5
User30,4,11,25,0.8
User30,5,0,0,0.0
User30,6,3,3,0.1
User30,7,9,9,0.3
User30,8,0,0,0.0
User30,9,0,0,0.0
User30,10,20,79,2.5
User30,11,40,236,7.6
User30,12,36,402,13.0
User30,13,113,1132,36.5
User30,14,140,1984,64.0
User30,15,91,507,16.9
User30,16,116,555,18.5
User30,17,125,964,32.1
User30,18,110,1269,42.3
User30,19,179,2630,87.7
User30,20,100,396,13.2
User30,21,177,1263,42.1
User30,22,109,1224,40.8
User30,23,46,232,7.7
User31,0,4,18,0.6
User31,1,3,33,1.1
User31,2,4,18,0.6
User31,3,3,11,0.4
User31,4,12,171,5.5
User31,5,165,2640,85.2
User31,6,20,188,6.1
User31,7,28,423,13.6
User31,8,121,1438,46.4
User31,9,65,485,15.6
User31,10,38,410,13.2
User31,11,84,600,19.4
User31,12,144,1116,36.0
User31,13,27,360,11.6
User31,14,100,461,14.9
User31,15,149,490,16.3
User31,16,89,428,14.3
User31,17,162,466,15.5
User31,18,36,320,10.7
User31,19,18,261,8.7
User31,20,27,310,10.3
User31,21,19,167,5.6
User31,22,21,66,2.2
User31,23,7,41,1.4
User32,0,41,61,2.0
User32,1,39,39,1.3
User32,2,43,43,1.4
User32,3,4,4,0.1
User32,4,0,0,0.0
User32,5,0,0,0.0
User32,6,22,133,4.3
User32,7,57,514,16.6
User32,8,32,462,14.9
User32,9,58,552,17.8
User32,10,132,656,21.2
User32,11,55,674,21.7
User32,12,158,1863,60.1
User32,13,180,887,28.6
User32,14,180,682,22.0
User32,15,102,738,24.6
User32,16,173,1071,35.7
User32,17,168,1489,49.6
User32,18,180,1848,61.6
User32,19,127,886,29.5
User32,20,39,539,18.0
User32,21,54,459,15.3
User32,22,43,291,9.7
User32,23,77,134,4.5
User33,0,21,222,7.4
User33,1,11,105,3.5
User33,2,7,53,1.8
User33,3,11,28,0.9
User33,4,4,10,0.3
User33,5,1,5,0.2
User33,6,22,30,1.0
User33,7,19,78,2.6
User33,8,38,273,9.1
User33,9,50,681,22.7
User33,10,46,486,16.2
User33,11,59,438,14.6
User33,12,64,548,18.3
User33,13,90,625,20.8
User33,14,67,697,23.2
User33,15,58,441,14.7
User33,16,99,579,19.3
User33,17,71,625,20.8
User33,18,115,1343,44.8
User33,19,150,945,31.5
User33,20,105,957,31.9
User33,21,159,1105,38.1
User33,22,108,625,21.6
User33,23,95,695,24.0