userName,numDaysTracked,TotalHrsAsleep,AvgDailySleep,MinDailySleep,MaxDailySleep,SumTimeInBed,AvgTimeInBed,MinTimeInBed,MaxTimeInBed,TotalTimeAwakeInBed,AvgTimeAwakeInBed
User02,4,19.6,4.9,2.0,13.3,23.1,5.8,2.1,16.0,3.5,0.9
User04,15,111.7,7.4,6.2,9.3,122.8,8.2,6.4,10.0,11.1,0.7
User05,28,137.0,4.9,2.5,7.1,215.2,7.7,5.1,10.4,78.2,2.8
User06,26,206.6,7.9,1.0,11.5,217.5,8.4,1.1,12.0,11.0,0.4
User07,24,161.3,6.7,1.0,10.3,170.5,7.1,1.1,10.7,9.2,0.4
User08,28,196.5,7.0,4.2,9.8,206.3,7.4,4.3,10.2,9.7,0.3
User09,26,187.2,7.2,1.2,10.1,199.6,7.7,1.3,10.6,12.4,0.5
User10,3,17.5,5.8,3.9,7.0,18.4,6.2,4.3,7.3,1.0,0.3
User11,31,231.5,7.5,5.0,10.5,240.8,7.8,5.6,11.3,9.4,0.3
User12,2,2.3,1.1,1.0,1.3,2.4,1.2,1.0,1.4,0.1,0.1
User13,24,181.3,7.6,5.4,11.3,186.6,7.8,5.5,11.7,5.3,0.2
User16,15,108.9,7.3,5.7,8.8,113.5,7.6,6.0,9.2,4.5,0.3
User17,3,32.6,10.9,9.8,12.0,48.0,16.0,16.0,16.0,15.4,5.2
User18,5,34.8,7.0,2.8,12.5,36.5,7.3,3.0,12.9,1.7,0.3
User19,28,236.2,8.4,6.0,9.6,250.9,9.0,6.3,10.1,14.7,0.5
User20,1,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,0.1,0.1
User23,8,46.6,5.8,1.3,8.3,50.6,6.3,1.3,9.0,4.0,0.5
User25,28,179.8,6.4,1.6,8.4,194.5,6.9,1.8,9.0,14.8,0.5
User26,5,10.6,2.1,1.7,2.9,11.7,2.3,2.0,3.0,1.0,0.2
User27,31,239.5,7.7,5.4,12.9,261.4,8.4,5.9,14.1,21.9,0.7
User28,18,143.6,8.0,5.6,11.0,153.1,8.5,5.8,11.6,9.4,0.5
User30,3,14.8,5.0,1.2,8.1,15.1,5.0,1.3,8.2,0.2,0.1
User31,32,236.4,7.4,5.4,10.2,257.8,8.1,5.9,11.5,21.3,0.7
User33,25,150.1,6.0,4.1,11.7,159.7,6.4,4.4,11.9,9.6,0.4